year,population,population_under5
1969,201385000,
1970,203984000,
1971,206827000,
1972,209284000,
1973,211357000,
1974,213342000,
1975,215465000,
1976,217563000,
1977,219760000,
1978,222095000,
1979,224567000,
1980,227224681,16451184
1981,229465714,16892719
1982,231664458,17227829
1983,233791994,17546883
1984,235824902,17694905
1985,237923795,17841621
1986,240132887,17962501
1987,242288918,18052205
1988,244498982,18195420
1989,246819230,18508058
1990,249622814,18856447
1991,252980941,19208046
1992,256514224,19528041
1993,259918588,19729275
1994,263125821,19776862
1995,266278393,19626505
1996,269394284,19408272
1997,272646925,19232671
1998,275854104,19144923
1999,279040168,19135544
2000,282162411,19178293
2001,284968955,19298217
2002,287625193,19429192
2003,290107933,19592446
2004,292805298,19785885
2005,295516599,19917400
2006,298379912,19938883
2007,301231207,20125962
2008,304093966,20271127
2009,306771529,20244518
2010,309348193,20189589
2011,311663358,20125988
2012,313998379,19980509
2013,316204908,19854133
2014,318563456,19877544
2015,320896618,19912499
2016,323127513,19927037
