year,disease,vaccine,reported_cases,vaccine_recommend,population,population_under5,rate
1972,Chickenpox,Varicella,164114,1996,209284000,,78.41688806
1973,Chickenpox,Varicella,182927,1996,211357000,,86.54882497
1974,Chickenpox,Varicella,141495,1996,213342000,,66.32308687
1975,Chickenpox,Varicella,154248,1996,215465000,,71.58842503
1976,Chickenpox,Varicella,183990,1996,217563000,,84.56860771
1977,Chickenpox,Varicella,188396,1996,219760000,,85.72806698
1978,Chickenpox,Varicella,154089,1996,222095000,,69.37976992
1979,Chickenpox,Varicella,199081,1996,224567000,,88.65104846
1980,Chickenpox,Varicella,190894,1996,227224681,16451184,84.01112025
1981,Chickenpox,Varicella,200766,1996,229465714,16892719,87.49280949
1982,Chickenpox,Varicella,167423,1996,231664458,17227829,72.26960987
1983,Chickenpox,Varicella,177462,1996,233791994,17546883,75.90593543
1984,Chickenpox,Varicella,221983,1996,235824902,17694905,94.13043242
1985,Chickenpox,Varicella,178162,1996,237923795,17841621,74.88195958
1986,Chickenpox,Varicella,183243,1996,240132887,17962501,76.30899803
1987,Chickenpox,Varicella,213196,1996,242288918,18052205,87.99246856
1988,Chickenpox,Varicella,192857,1996,244498982,18195420,78.87844703
1989,Chickenpox,Varicella,185441,1996,246819230,18508058,75.13231445
1990,Chickenpox,Varicella,173099,1996,249622814,18856447,69.34422268
1991,Chickenpox,Varicella,147076,1996,252980941,19208046,58.13718592
1992,Chickenpox,Varicella,158364,1996,256514224,19528041,61.73692731
1993,Chickenpox,Varicella,134722,1996,259918588,19729275,51.83238376
1994,Chickenpox,Varicella,151219,1996,263125821,19776862,57.47022448
1995,Chickenpox,Varicella,120624,1996,266278393,19626505,45.29995793
1996,Chickenpox,Varicella,83511,1996,269394284,19408272,30.99954415
1997,Chickenpox,Varicella,98727,1996,272646925,19232671,36.21056794
1998,Chickenpox,Varicella,82455,1996,275854104,19144923,29.89080054
1999,Chickenpox,Varicella,46016,1996,279040168,19135544,16.49081576
2000,Chickenpox,Varicella,27382,1996,282162411,19178293,9.704340101
2001,Chickenpox,Varicella,22536,1996,284968955,19298217,7.908229863
2002,Chickenpox,Varicella,22841,1996,287625193,19429192,7.941237609
2003,Chickenpox,Varicella,20948,1996,290107933,19592446,7.220760833
2004,Chickenpox,Varicella,32931,1996,292805298,19785885,11.24672273
2005,Chickenpox,Varicella,32242,1996,295516599,19917400,10.91038544
2006,Chickenpox,Varicella,48445,1996,298379912,19938883,16.23601256
2007,Chickenpox,Varicella,40146,1996,301231207,20125962,13.32730443
2008,Chickenpox,Varicella,30386,1996,304093966,20271127,9.992306128
