year,disease,vaccine,reported_cases,vaccine_recommend
1972,Chickenpox,Varicella,164114,1996
1973,Chickenpox,Varicella,182927,1996
1974,Chickenpox,Varicella,141495,1996
1975,Chickenpox,Varicella,154248,1996
1976,Chickenpox,Varicella,183990,1996
1977,Chickenpox,Varicella,188396,1996
1978,Chickenpox,Varicella,154089,1996
1979,Chickenpox,Varicella,199081,1996
1980,Chickenpox,Varicella,190894,1996
1981,Chickenpox,Varicella,200766,1996
1982,Chickenpox,Varicella,167423,1996
1983,Chickenpox,Varicella,177462,1996
1984,Chickenpox,Varicella,221983,1996
1985,Chickenpox,Varicella,178162,1996
1986,Chickenpox,Varicella,183243,1996
1987,Chickenpox,Varicella,213196,1996
1988,Chickenpox,Varicella,192857,1996
1989,Chickenpox,Varicella,185441,1996
1990,Chickenpox,Varicella,173099,1996
1991,Chickenpox,Varicella,147076,1996
1992,Chickenpox,Varicella,158364,1996
1993,Chickenpox,Varicella,134722,1996
1994,Chickenpox,Varicella,151219,1996
1995,Chickenpox,Varicella,120624,1996
1996,Chickenpox,Varicella,83511,1996
1997,Chickenpox,Varicella,98727,1996
1998,Chickenpox,Varicella,82455,1996
1999,Chickenpox,Varicella,46016,1996
2000,Chickenpox,Varicella,27382,1996
2001,Chickenpox,Varicella,22536,1996
2002,Chickenpox,Varicella,22841,1996
2003,Chickenpox,Varicella,20948,1996
2004,Chickenpox,Varicella,32931,1996
2005,Chickenpox,Varicella,32242,1996
2006,Chickenpox,Varicella,48445,1996
2007,Chickenpox,Varicella,40146,1996
2008,Chickenpox,Varicella,30386,1996
2009,Chickenpox,Varicella,20480,1996
2010,Chickenpox,Varicella,15427,1996
2011,Chickenpox,Varicella,14513,1996
2012,Chickenpox,Varicella,13447,1996
2013,Chickenpox,Varicella,11359,1996
2014,Chickenpox,Varicella,10172,1996
2015,Chickenpox,Varicella,9789,1996
2016,Chickenpox,Varicella,8953,1996
1969,Diphtheria,Dtap,241,1949
1970,Diphtheria,Dtap,435,1949
1971,Diphtheria,Dtap,215,1949
1972,Diphtheria,Dtap,152,1949
1973,Diphtheria,Dtap,228,1949
1974,Diphtheria,Dtap,272,1949
1975,Diphtheria,Dtap,307,1949
1976,Diphtheria,Dtap,128,1949
1977,Diphtheria,Dtap,84,1949
1978,Diphtheria,Dtap,76,1949
1979,Diphtheria,Dtap,59,1949
1980,Diphtheria,Dtap,3,1949
1981,Diphtheria,Dtap,5,1949
1982,Diphtheria,Dtap,2,1949
1983,Diphtheria,Dtap,5,1949
1984,Diphtheria,Dtap,1,1949
1985,Diphtheria,Dtap,3,1949
1986,Diphtheria,Dtap,0,1949
1987,Diphtheria,Dtap,3,1949
1988,Diphtheria,Dtap,2,1949
1989,Diphtheria,Dtap,3,1949
1990,Diphtheria,Dtap,4,1949
1991,Diphtheria,Dtap,5,1949
1992,Diphtheria,Dtap,4,1949
1993,Diphtheria,Dtap,0,1949
1994,Diphtheria,Dtap,2,1949
1995,Diphtheria,Dtap,0,1949
1996,Diphtheria,Dtap,2,1949
1997,Diphtheria,Dtap,4,1949
1998,Diphtheria,Dtap,1,1949
1999,Diphtheria,Dtap,1,1949
2000,Diphtheria,Dtap,1,1949
2001,Diphtheria,Dtap,2,1949
2002,Diphtheria,Dtap,1,1949
2003,Diphtheria,Dtap,1,1949
2004,Diphtheria,Dtap,0,1949
2005,Diphtheria,Dtap,0,1949
2006,Diphtheria,Dtap,0,1949
2007,Diphtheria,Dtap,0,1949
2008,Diphtheria,Dtap,0,1949
2009,Diphtheria,Dtap,0,1949
2010,Diphtheria,Dtap,0,1949
2011,Diphtheria,Dtap,0,1949
2012,Diphtheria,Dtap,1,1949
2013,Diphtheria,Dtap,0,1949
2014,Diphtheria,Dtap,1,1949
2015,Diphtheria,Dtap,0,1949
2016,Diphtheria,Dtap,0,1949
2002,Hib (age < 5 yr),Hib,34,1989
2003,Hib (age < 5 yr),Hib,32,1989
2004,Hib (age < 5 yr),Hib,19,1989
2005,Hib (age < 5 yr),Hib,9,1989
2006,Hib (age < 5 yr),Hib,29,1989
2007,Hib (age < 5 yr),Hib,22,1989
2008,Hib (age < 5 yr),Hib,30,1989
2009,Hib (age < 5 yr),Hib,38,1989
2010,Hib (age < 5 yr),Hib,23,1989
2011,Hib (age < 5 yr),Hib,14,1989
2012,Hib (age < 5 yr),Hib,30,1989
2013,Hib (age < 5 yr),Hib,31,1989
2014,Hib (age < 5 yr),Hib,40,1989
2015,Hib (age < 5 yr),Hib,29,1989
2016,Hib (age < 5 yr),Hib,30,1989
1969,Hepatitis A,HepA,48416,2006
1970,Hepatitis A,HepA,56797,2006
1971,Hepatitis A,HepA,59606,2006
1972,Hepatitis A,HepA,54074,2006
1973,Hepatitis A,HepA,50749,2006
1974,Hepatitis A,HepA,40358,2006
1975,Hepatitis A,HepA,35855,2006
1976,Hepatitis A,HepA,33288,2006
1977,Hepatitis A,HepA,31153,2006
1978,Hepatitis A,HepA,29500,2006
1979,Hepatitis A,HepA,30407,2006
1980,Hepatitis A,HepA,29087,2006
1981,Hepatitis A,HepA,25802,2006
1982,Hepatitis A,HepA,23403,2006
1983,Hepatitis A,HepA,21532,2006
1984,Hepatitis A,HepA,22040,2006
1985,Hepatitis A,HepA,23210,2006
1986,Hepatitis A,HepA,23430,2006
1987,Hepatitis A,HepA,25280,2006
1988,Hepatitis A,HepA,28507,2006
1989,Hepatitis A,HepA,35821,2006
1990,Hepatitis A,HepA,31441,2006
1991,Hepatitis A,HepA,24378,2006
1992,Hepatitis A,HepA,23112,2006
1993,Hepatitis A,HepA,24238,2006
1994,Hepatitis A,HepA,26796,2006
1995,Hepatitis A,HepA,31582,2006
1996,Hepatitis A,HepA,31032,2006
1997,Hepatitis A,HepA,30021,2006
1998,Hepatitis A,HepA,23229,2006
1999,Hepatitis A,HepA,17047,2006
2000,Hepatitis A,HepA,13397,2006
2001,Hepatitis A,HepA,10609,2006
2002,Hepatitis A,HepA,8795,2006
2003,Hepatitis A,HepA,7653,2006
2004,Hepatitis A,HepA,5683,2006
2005,Hepatitis A,HepA,4488,2006
2006,Hepatitis A,HepA,3579,2006
2007,Hepatitis A,HepA,2979,2006
2008,Hepatitis A,HepA,2585,2006
2009,Hepatitis A,HepA,1987,2006
2010,Hepatitis A,HepA,1670,2006
2011,Hepatitis A,HepA,1398,2006
2012,Hepatitis A,HepA,1562,2006
2013,Hepatitis A,HepA,1781,2006
2014,Hepatitis A,HepA,1239,2006
2015,Hepatitis A,HepA,1390,2006
2016,Hepatitis A,HepA,2007,2006
1969,Hepatitis B,HepB,5909,1994
1970,Hepatitis B,HepB,8310,1994
1971,Hepatitis B,HepB,9556,1994
1972,Hepatitis B,HepB,9402,1994
1973,Hepatitis B,HepB,8451,1994
1974,Hepatitis B,HepB,10631,1994
1975,Hepatitis B,HepB,13121,1994
1976,Hepatitis B,HepB,14973,1994
1977,Hepatitis B,HepB,16831,1994
1978,Hepatitis B,HepB,15016,1994
1979,Hepatitis B,HepB,15452,1994
1980,Hepatitis B,HepB,19015,1994
1981,Hepatitis B,HepB,21152,1994
1982,Hepatitis B,HepB,22177,1994
1983,Hepatitis B,HepB,24318,1994
1984,Hepatitis B,HepB,26115,1994
